track_index,dj_play_count,color,artwork,bpm,year,title,tag,artist,rating,album,time,date_added,key,genre
1,0,,,112,2012,Slapeloze Nachten,Top 40/Pop / Playlisted,The Opposites,     ,Nederlandse Top 40: week 32,3:49,1/15/2013,,Top 40
2,14,,,129,2012,This Is Love,Dance / Top 40/Pop / Urban / White / Playlisted,Will.i.am. ft. Eva Simons,     ,Nederlandse Top 40: week 32,4:40,1/15/2013,,Top 40
3,3,,,128.01,2012,Balada,Fout / Top 40/Pop / Playlisted,Gusttavo Lima,*****,Nederlandse Top 40: week 32,3:23,1/15/2013,,Top 40
4,1,,,90,2012,Feel The Love,Drum And Bass / Top 40/Pop / Playlisted,Rudimental ft. John Newman,     ,Nederlandse Top 40: week 32,4:27,1/15/2013,,Top 40
5,5,,,132,2012,Euphoria,Fout / Top 40/Pop / Playlisted,Loreen,     ,Nederlandse Top 40: week 32,3:02,1/15/2013,,Top 40
6,50,,,125,2012,Starships,Dance / Top 40/Pop / Urban / Vocal/Meezinger / Playlisted,Nicki Minaj,**** ,Nederlandse Top 40: week 32,3:30,1/15/2013,,Top 40
7,0,,,127,2012,Tacata,Top 40/Pop / Playlisted,Tacabro,     ,Nederlandse Top 40: week 32,2:54,1/15/2013,,Top 40
8,0,,,104,2012,Whistle,Top 40/Pop / Playlisted,Flo Rida,     ,Nederlandse Top 40: week 32,3:45,1/15/2013,,Top 40
9,1,,,148.61,2012,Lion In The Morning Sun,Top 40/Pop / Playlisted,Will And The People,     ,Nederlandse Top 40: week 32,3:11,1/15/2013,,Top 40
10,5,,,124,2012,Turn Up The Love,Dance / Top 40/Pop / Urban / Playlisted,Far East Movement ft. Cover Drive,*****,Nederlandse Top 40: week 32,3:16,1/15/2013,,Top 40
11,1,,,159.7,2012,Keep Your Head Up,Top 40/Pop / Playlisted,Ben Howard,     ,Nederlandse Top 40: week 32,4:24,1/15/2013,,Top 40
12,9,,,111,2012,Krokobil ft. Sjaak & Mr. Polska,Dance / Top 40/Pop / Urban / Playlisted,Yellow Claw,     ,Nederlandse Top 40: week 32,3:38,1/15/2013,,Top 40
13,0,,,93,2012,One More Night,Top 40/Pop / Playlisted,Maroon 5,     ,Nederlandse Top 40: week 32,3:39,1/15/2013,,Top 40
14,36,,,136,2012,Beauty & De Brains,Top 40/Pop / Playlisted,Nielson,*****,Nederlandse Top 40: week 32,3:06,1/15/2013,,Top 40
15,1,,,126,2012,Million Voices,Top 40/Pop / Playlisted,Otto Knows,     ,Nederlandse Top 40: week 32,5:53,1/15/2013,,Top 40
16,0,,,140,2012,50 Ways To Say Goodbye,Top 40/Pop / Playlisted,Train,     ,Nederlandse Top 40: week 32,4:08,1/15/2013,,Top 40
17,2,,,126,2012,Good Time,Top 40/Pop / Playlisted,Owl City & Carly Rae Jepsen,     ,Nederlandse Top 40: week 32,3:26,1/15/2013,,Top 40
18,0,,,110,2012,Payphone,Top 40/Pop / Playlisted,Maroon 5 ft. Wiz Khalifa,     ,Nederlandse Top 40: week 32,3:51,1/15/2013,,Top 40
19,5,,,108.14,2012,Some Nights,Dance / Top 40/Pop / White / Playlisted,Fun.,**** ,Nederlandse Top 40: week 32,4:37,1/15/2013,,Top 40
20,0,,,140.72,2012,Let It Be,Top 40/Pop / Playlisted,Mike Masse,     ,Nederlandse Top 40: week 32,3:24,1/15/2013,,Top 40
21,1,,,94,2012,Everything's Gonna Be Alright,Top 40/Pop / Playlisted,The Babysitters Circus,     ,Nederlandse Top 40: week 32,4:01,1/15/2013,,Top 40
22,0,,,114,2012,Blow Me (One Last Kiss),Top 40/Pop / Playlisted,P!nk,     ,Nederlandse Top 40: week 32,4:15,1/15/2013,,Top 40
23,4,,,128,2012,Never Played The Bass,Top 40/Pop / Playlisted,Shary-An,     ,Nederlandse Top 40: week 32,3:15,1/15/2013,,Top 40
24,0,,,128,2012,Party Shaker (Video Edit),Top 40/Pop / Playlisted,R.I.O. ft. Nicco,     ,Nederlandse Top 40: week 32,3:28,1/15/2013,,Top 40
25,1,,,128,2012,Scream,Top 40/Pop / Playlisted,Usher,     ,Nederlandse Top 40: week 32,3:55,1/15/2013,,Top 40
26,0,,,110,2012,"I Follow Rivers (Live @ Giel, 3FM)",Top 40/Pop / Playlisted,Triggerfinger,     ,Nederlandse Top 40: week 32,3:35,1/15/2013,,Top40
27,0,,,104,2012,Settle Down,Top 40/Pop / Playlisted,No Doubt,     ,Nederlandse Top 40: week 32,6:01,1/15/2013,,Top 40
28,2,,,128,2012,Where Have You Been,Dance / Top 40/Pop / Urban / Playlisted,Rihanna,     ,Nederlandse Top 40: week 32,4:02,1/15/2013,,Top 40
29,2,,,92.08,2012,We Are Young,Top 40/Pop / White / Playlisted,Fun ft. Janelle Monáe,     ,Nederlandse Top 40: week 32,4:10,1/15/2013,,Top 40
30,0,,,126.17,2012,Nothing Inside (Radio Edit),Top 40/Pop / Playlisted,Sander van Doorn & Mayaeni,     ,Nederlandse Top 40: week 32,3:27,1/15/2013,,Top 40
31,0,,,128,2012,Dance Again,Dance / Top 40/Pop / Latin/Balkan / Playlisted,Jennifer Lopez,     ,Nederlandse Top 40: week 32,3:56,1/15/2013,,Top 40
32,0,,,90,2012,Zijn,Top 40/Pop / Playlisted,Gers Pardoel,**** ,Nederlandse Top 40: week 32,3:38,1/15/2013,,Top 40
33,0,,,122,2012,Runaways,Top 40/Pop / Playlisted,The Killers,     ,Nederlandse Top 40: week 32,4:03,1/15/2013,,Top 40
34,0,,,103.37,2012,Little Talks,Top 40/Pop / Playlisted,Of Monsters And Men,     ,Nederlandse Top 40: week 32,4:27,1/15/2013,,Top 40
35,0,,,85,2012,Hall Of Fame,Top 40/Pop / Playlisted,The Script ft. Will.i.am,     ,Nederlandse Top 40: week 32,3:21,1/15/2013,,Top 40
36,1,,,80,2012,Wide Awake,Dance / Top 40/Pop / White / Playlisted,Katy Perry,     ,Nederlandse Top 40: week 32,3:41,1/15/2013,,Top 40
37,26,,,120,2012,Call Me Maybe,Fout / Dance / Top 40/Pop / White / Playlisted,Carly Rae Jepsen,**** ,Nederlandse Top 40 week 30 2012,3:13,1/15/2013,,Top 40
38,0,,,125,2012,Starships,Top 40/Pop / Playlisted,Nicki Minaj,     ,Nederlandse Top 40 week 30 2012,3:30,1/15/2013,,Top 40
39,3,,,127,2012,Tacata,Top 40/Pop / Playlisted,Tacabro,*****,Nederlandse Top 40 week 30 2012,3:30,1/15/2013,,Top 40
40,2,,,104,2012,Whistle,Top 40/Pop / Playlisted,Flo Rida,     ,Nederlandse Top 40 week 30 2012,3:44,1/15/2013,,Top 40
41,6,,,129,2012,This is love,Top 40/Pop / Playlisted,Will.I.Am ft. Eva,     ,Nederlandse Top 40 week 30 2012,4:42,1/15/2013,,Top 40
42,1,,,148.64,2012,Lion In The Morning Sun,Top 40/Pop / Playlisted,Will and The People,     ,Nederlandse Top 40 week 30 2012,3:10,1/15/2013,,Top 40
43,1,,,159.58,2012,Keep your head up,Top 40/Pop / Playlisted,Ben Howard,     ,Nederlandse Top 40 week 30 2012,4:24,1/15/2013,,Top 40
44,1,,,110,2012,Payphone,Top 40/Pop / Playlisted,Maroon 5 ft. Wiz Khalifa,     ,Nederlandse Top 40 week 30 2012,3:51,1/15/2013,,Top 40
45,5,,,92.08,2012,We Are Young,Top 40/Pop / Playlisted,Fun ft. Janelle Monae,     ,Nederlandse Top 40 week 30 2012,4:08,1/15/2013,,Top 40
46,1,,,128,2012,Where Have You Been,Top 40/Pop / Playlisted,Rihanna,**** ,Nederlandse Top 40 week 30 2012,4:02,1/15/2013,,Top 40
47,0,,,128,2012,Scream,Top 40/Pop / Playlisted,Usher,     ,Nederlandse Top 40 week 30 2012,3:54,1/15/2013,,Top 40
48,2,,,124,2012,Turn up the love,Top 40/Pop / Playlisted,Far East Movement ft. Cover Drive,     ,Nederlandse Top 40 week 30 2012,3:16,1/15/2013,,Top 40
49,0,,,128,2012,Dance Again,Dance / Top 40/Pop / Urban / Playlisted,Jennifer Lopez ft. Pitbull,     ,Nederlandse Top 40 week 30 2012,3:57,1/15/2013,,Top 40
50,0,,,93,2012,One More Night,Top 40/Pop / Playlisted,Maroon 5,     ,Nederlandse Top 40 week 30 2012,3:39,1/15/2013,,Top 40
51,2,,,94,2012,Everything's Going To Be Alright,Top 40/Pop / Playlisted,The Babysitters Circus,     ,Nederlandse Top 40 week 30 2012,4:37,1/15/2013,,Top 40
